Species	Gene	Expert	Gemini	Grok	OpenAI	Phytomni
Soybean	GLYMA_01G194300	WvqIaAKhqTf3hfWECTwKsyXJuKPwcSPl	R2	R4	R3	R1
Soybean	GLYMA_01G194300	c81eCPPhqmvgwIbUO1CRyiVjUeP3Ek5V	R2	R3	R4	R1
Soybean	GLYMA_01G194300	IkL06HWQmR4uao51ypoLlA72c4Kipdel	R3	R2	R4	R1
Soybean	GLYMA_08G269800	BlrATJscxB0QRI0m3UbCopC8W8B92u2D	R3	R4	R2	R1
Soybean	GLYMA_08G269800	PCBBVau7mFiQZI9v6qT8mtxVwmHpy3mv	R2	R4	R3	R1
Soybean	GLYMA_08G269800	IkL06HWQmR4uao51ypoLlA72c4Kipdel	R3	R4	R2	R1
Soybean	GLYMA_08G163900	c81eCPPhqmvgwIbUO1CRyiVjUeP3Ek5V	R1	R4	R3	R2
Soybean	GLYMA_08G163900	pjbi6l2HJL3vJR9YRHiKKAORCmiChNws	R2	R4	R3	R1
Soybean	GLYMA_08G163900	Ud25PeZGzaFVHhfNbEEtLhFw27JIQHRy	R2	R4	R3	R1
Soybean	GLYMA_05G018800	BlrATJscxB0QRI0m3UbCopC8W8B92u2D	R3	R4	R2	R1
Soybean	GLYMA_05G018800	l5SwVQsDNnKWTcSrAyffo8Kl8JuLLjDN	R2	R4	R3	R1
Soybean	GLYMA_05G018800	pxbZmSdAGEhYGh3RgnDnLekkfzilwicj	R2	R4	R3	R1
Soybean	GLYMA_09G238300	BlrATJscxB0QRI0m3UbCopC8W8B92u2D	R3	R4	R2	R1
Soybean	GLYMA_09G238300	WvqIaAKhqTf3hfWECTwKsyXJuKPwcSPl	R2	R4	R3	R1
Soybean	GLYMA_09G238300	rvOsdsSLq3AWQKT2NDw86Qn3TPunBw8n	R2	R4	R3	R1
Soybean	GLYMA_09G149200	l5SwVQsDNnKWTcSrAyffo8Kl8JuLLjDN	R2	R4	R3	R1
Soybean	GLYMA_09G149200	IkL06HWQmR4uao51ypoLlA72c4Kipdel	R1	R4	R3	R2
Soybean	GLYMA_09G149200	gn8MXuryXLytnYacUUS9zstklbnUvdlU	R2	R4	R3	R1
Soybean	GLYMA_11G003200	WvqIaAKhqTf3hfWECTwKsyXJuKPwcSPl	R2	R4	R3	R1
Soybean	GLYMA_11G003200	mJCSm5hnf2XJKLsuGFV3Gd93RfZpZ7n5	R1	R4	R3	R2
Soybean	GLYMA_11G003200	pxbZmSdAGEhYGh3RgnDnLekkfzilwicj	R2	R4	R3	R1
Soybean	GLYMA_08G302500	Q0wyBKjEJ9WjRlBuGbgsEPKxjyxqFDgN	R2	R4	R3	R1
Soybean	GLYMA_08G302500	vTkkr5PzhZUyk05hGDL4scnflZH65684	R2	R4	R3	R1
Soybean	GLYMA_08G302500	LIVfMTp2Q195YVtCZ8tK7m19GF00r3cd	R2	R4	R3	R1
Soybean	GLYMA_18G149800	AU7QUOpT1H8P3eLhh5T0355nSvvx8TqH	R2	R4	R3	R1
Soybean	GLYMA_18G149800	l5SwVQsDNnKWTcSrAyffo8Kl8JuLLjDN	R2	R4	R3	R1
Soybean	GLYMA_18G149800	LIVfMTp2Q195YVtCZ8tK7m19GF00r3cd	R3	R4	R2	R1
Soybean	GLYMA_13G276700	Ga4RfZi24UWV9fPFoDwaSxmMaY4OUMt5	R2	R4	R3	R1
Soybean	GLYMA_13G276700	pjbi6l2HJL3vJR9YRHiKKAORCmiChNws	R2	R4	R3	R1
Soybean	GLYMA_13G276700	wsdTZKnGp3fOytA1b5gneF2OBEuRWuOF	R2	R4	R3	R1
Soybean	GLYMA_12G224600	vTkkr5PzhZUyk05hGDL4scnflZH65684	R2	R4	R3	R1
Soybean	GLYMA_12G224600	rvOsdsSLq3AWQKT2NDw86Qn3TPunBw8n	R2	R4	R3	R1
Soybean	GLYMA_12G224600	YkzfA9QE3uqT8AnPOvr5xWtNVdWz2PgF	R2	R4	R3	R1
Soybean	GLYMA_11G026400	WvqIaAKhqTf3hfWECTwKsyXJuKPwcSPl	R2	R4	R3	R1
Soybean	GLYMA_11G026400	mJCSm5hnf2XJKLsuGFV3Gd93RfZpZ7n5	R2	R3	R4	R1
Soybean	GLYMA_11G026400	Iu4vXdz9Wkdf9zSuCBAu7SIaU64K276P	R1	R3	R4	R2
Soybean	GLYMA_19G034500	AU7QUOpT1H8P3eLhh5T0355nSvvx8TqH	R2	R3	R4	R1
Soybean	GLYMA_19G034500	IkL06HWQmR4uao51ypoLlA72c4Kipdel	R2	R4	R3	R1
Soybean	GLYMA_19G034500	IU6JoJoFlb9GV3xXTm6UPYJVcjscKcJd	R4	R1	R2	R3
Soybean	GLYMA_19G164600	vTkkr5PzhZUyk05hGDL4scnflZH65684	R2	R4	R3	R1
